pkg_idx,verId:START_ID(Version),pkgId:END_ID(Package),source_name,target_name,source_version,target_version,kind,os_platform
146,148,145,matreshka_servlet,matreshka_league,21.0.0,21.0.0,BUILD,
146,149,145,matreshka_servlet,matreshka_league,20.1.0,20.1.0,BUILD,
146,150,145,matreshka_servlet,matreshka_league,18.1.0,18.1.0,BUILD,
142,151,139,matreshka_amf_uml,matreshka_amf_dd,18.1.0,18.1.0,BUILD,
142,151,145,matreshka_amf_uml,matreshka_league,18.1.0,18.1.0,BUILD,
142,152,139,matreshka_amf_uml,matreshka_amf_dd,20.1.0,20.1.0,BUILD,
142,152,145,matreshka_amf_uml,matreshka_league,20.1.0,20.1.0,BUILD,
142,153,139,matreshka_amf_uml,matreshka_amf_dd,21.0.0,21.0.0,BUILD,
142,153,145,matreshka_amf_uml,matreshka_league,21.0.0,21.0.0,BUILD,
140,155,142,matreshka_amf_mofext,matreshka_amf_uml,21.0.0,21.0.0,BUILD,
140,155,145,matreshka_amf_mofext,matreshka_league,21.0.0,21.0.0,BUILD,
140,156,142,matreshka_amf_mofext,matreshka_amf_uml,18.1.0,18.1.0,BUILD,
140,156,145,matreshka_amf_mofext,matreshka_league,18.1.0,18.1.0,BUILD,
140,157,142,matreshka_amf_mofext,matreshka_amf_uml,20.1.0,20.1.0,BUILD,
140,157,145,matreshka_amf_mofext,matreshka_league,20.1.0,20.1.0,BUILD,
90,160,225,keystoreada,utilada,1.1.0,^2.1.0,BUILD,
65,161,63,gnatcoll_iconv,gnatcoll,21.0.0,~21.0.0,BUILD,
65,161,112,gnatcoll_iconv,libiconv,21.0.0,*,BUILD,windows
65,162,63,gnatcoll_iconv,gnatcoll,22.0.0,~22.0.0,BUILD,
65,162,112,gnatcoll_iconv,libiconv,22.0.0,*,BUILD,windows
66,168,63,gnatcoll_lzma,gnatcoll,22.0.0,~22.0.0,BUILD,
66,168,114,gnatcoll_lzma,liblzma,22.0.0,*,BUILD,
66,169,63,gnatcoll_lzma,gnatcoll,21.0.0,~21.0.0,BUILD,
66,169,114,gnatcoll_lzma,liblzma,21.0.0,*,BUILD,
68,170,63,gnatcoll_postgres,gnatcoll,22.0.0,~22.0.0,BUILD,
68,170,72,gnatcoll_postgres,gnatcoll_sql,22.0.0,~22.0.0,BUILD,
68,170,179,gnatcoll_postgres,postgresql,22.0.0,*,BUILD,
